country,imports,exports,income,gdppc,inflation,health,child_mortality,total_fertility_rate,life_expectancy
Afghanistan,44.9,10,1610,553,9.44,7.58,90.2,5.82,56.2
Albania,48.6,28,9930,4090,4.49,6.55,16.6,1.65,76.3
Algeria,31.4,38.4,12900,4460,16.1,4.17,27.3,2.89,76.5
Angola,42.9,62.3,5900,3530,22.4,2.85,119,6.16,60.1
Antigua and Barbuda,58.9,45.5,19100,12200,1.44,6.03,10.3,2.13,76.8
Argentina,16,18.9,18700,10300,20.9,8.1,14.5,2.37,75.8
Armenia,45.3,20.8,6700,3220,7.77,4.4,18.1,1.69,73.3
Australia,20.9,19.8,41400,51900,1.16,8.73,4.8,1.93,82
Austria,47.8,51.3,43200,46900,0.873,11,4.3,1.44,80.5
Azerbaijan,20.7,54.3,16000,5840,13.8,5.88,39.2,1.92,69.1
Bahamas,43.7,35,22900,28000,-0.393,7.89,13.8,1.86,73.8
Bahrain,50.9,69.5,41100,20700,7.44,4.97,8.6,2.16,76
Bangladesh,21.8,16,2440,758,7.14,3.52,49.4,2.33,70.4
Barbados,48.7,39.5,15300,16000,0.321,7.97,14.2,1.78,76.7
Belarus,64.5,51.4,16200,6030,15.1,5.61,5.5,1.49,70.4
Belgium,74.7,76.4,41100,44400,1.88,10.7,4.5,1.86,80
Belize,57.5,58.2,7880,4340,1.14,5.2,18.8,2.71,71.4
Benin,37.2,23.8,1820,758,0.885,4.1,111,5.36,61.8
Bhutan,70.7,42.5,6420,2180,5.99,5.2,42.7,2.38,72.1
Bolivia,34.3,41.2,5410,1980,8.78,4.84,46.6,3.2,71.6
Bosnia and Herzegovina,51.3,29.7,9720,4610,1.4,11.1,6.9,1.31,76.8
Botswana,51.3,43.6,13300,6350,8.92,8.3,52.5,2.88,57.1
Brazil,11.8,10.7,14500,11200,8.41,9.01,19.8,1.8,74.2
Brunei,28,67.4,80600,35300,16.7,2.84,10.5,1.84,77.1
Bulgaria,53,50.2,15300,6840,1.11,6.87,10.8,1.57,73.9
Burkina Faso,29.6,19.2,1430,575,6.81,6.74,116,5.87,57.9
Burundi,39.2,8.92,764,231,12.3,11.6,93.6,6.26,57.7
Cambodia,59.5,54.1,2520,786,3.12,5.68,44.4,2.88,66.1
Cameroon,27,22.2,2660,1310,1.91,5.13,108,5.11,57.3
Canada,31,29.1,40700,47400,2.87,11.3,5.6,1.63,81.3
Cape Verde,61.8,32.7,5830,3310,0.505,4.09,26.5,2.67,72.5
Central African Republic,26.5,11.8,888,446,2.01,3.98,149,5.21,47.5
Chad,43.5,36.8,1930,897,6.39,4.53,150,6.59,56.5
Chile,31.3,37.7,19400,12900,8.96,7.96,8.7,1.88,79.1
China,22.6,26.3,9530,4560,6.94,5.07,15.7,1.59,74.6
Colombia,17.8,15.9,10900,6250,3.86,7.59,18.6,2.01,76.4
Comoros,51.7,16.5,1410,769,3.87,4.51,88.2,4.75,65.9
"Congo, Dem. Rep.",49.6,41.1,609,334,20.8,7.91,116,6.54,57.5
"Congo, Rep.",54.7,85.1,5190,2740,20.7,2.46,63.9,4.95,60.4
Costa Rica,35,33.2,13000,8200,6.57,10.9,10.2,1.92,80.4
Cote d'Ivoire,43.3,50.6,2690,1220,5.39,5.3,111,5.27,56.3
Croatia,38.1,37.6,20100,13500,0.821,7.76,5.5,1.55,76.3
Cyprus,57.5,50.2,33900,30800,2.01,5.97,3.6,1.42,79.9
Czech Republic,62.9,66,28300,19800,-1.43,7.88,3.4,1.51,77.5
Denmark,43.6,50.5,44000,58000,3.22,11.4,4.1,1.87,79.5
Dominican Republic,33.3,22.7,11100,5450,5.44,6.22,34.4,2.6,74.6
Ecuador,32.4,27.9,9350,4660,7.47,8.06,25.1,2.66,76.7
Egypt,26.6,21.3,9860,2600,10.1,4.66,29.1,3.19,70.5
El Salvador,46.6,26.9,7300,2990,2.65,6.91,19.2,2.27,74.1
Equatorial Guinea,58.9,85.8,33700,17100,24.9,4.48,111,5.21,60.9
Eritrea,23.3,4.79,1420,482,11.6,2.66,55.2,4.61,61.7
Estonia,68.7,75.1,22700,14600,1.74,6.03,4.5,1.72,76
Fiji,63.9,57.8,7350,3650,4.23,4.86,24.1,2.67,65.3
Finland,37.4,38.7,39800,46200,0.351,8.95,3,1.87,80
France,28.1,26.8,36900,40600,1.05,11.9,4.2,2.03,81.4
Gabon,18.9,57.7,15400,8750,16.6,3.5,63.7,4.08,62.9
Gambia,42.7,23.8,1660,562,4.3,5.69,80.3,5.71,65.5
Georgia,52.8,35,6730,2960,8.55,10.1,16.5,1.92,72.8
Germany,37.1,42.3,40400,41800,0.758,11.6,4.2,1.39,80.1
Ghana,45.9,29.5,3060,1310,16.6,5.22,74.7,4.27,62.2
Greece,30.7,22.1,28700,26900,0.673,10.3,3.9,1.48,80.4
Grenada,49.2,23.8,11200,7370,0.48,5.86,14.6,2.24,71.3
Guatemala,36.3,25.8,6710,2830,5.14,6.85,35.4,3.38,71.3
Guinea,43.2,30.3,1190,648,16.1,4.93,109,5.34,58
Guinea-Bissau,35.2,14.9,1390,547,2.97,8.5,114,5.05,55.6
Guyana,79.1,51.4,5840,3040,5.73,5.38,37.6,2.65,65.5
Haiti,64.7,15.3,1500,662,5.45,6.91,208,3.33,32.1
Hungary,76.5,81.8,22300,13100,2.33,7.33,6,1.25,74.5
Iceland,43.3,53.4,38800,41900,5.47,9.4,2.6,2.2,82
India,27.1,22.6,4410,1350,8.98,4.05,58.8,2.6,66.2
Indonesia,22.4,24.3,8430,3110,15.3,2.61,33.3,2.48,69.9
Iran,19.4,24.4,17400,6530,15.9,5.6,19.3,1.76,74.5
Iraq,34.1,39.4,12700,4500,16.6,8.41,36.9,4.56,67.2
Ireland,86.5,103,45700,48700,-3.22,9.19,4.2,2.05,80.4
Israel,32.9,35,29600,30600,1.77,7.63,4.6,3.03,81.4
Italy,27.2,25.2,36200,35800,0.319,9.53,4,1.46,81.7
Jamaica,49.6,31.3,8000,4680,9.81,4.81,18.1,2.17,74.7
Japan,13.6,15,35800,44500,-1.9,9.49,3.2,1.39,82.8
Jordan,69,48.3,9470,3680,8.43,8.04,21.1,3.66,75.8
Kazakhstan,29.9,44.2,20100,9070,19.5,4.29,21.5,2.6,68.4
Kenya,33.6,20.7,2480,967,2.09,4.75,62.2,4.37,62.8
Kiribati,79.9,13.3,1730,1490,1.52,11.3,62.7,3.84,60.7
Kuwait,30.4,66.7,75200,38500,11.2,2.63,10.8,2.21,78.2
Kyrgyz Republic,81.7,51.6,2790,880,10,6.18,29.6,3.1,68.5
Lao,49.3,35.4,3980,1140,9.2,4.47,78.9,3.15,63.8
Latvia,55.1,53.7,18300,11300,-0.812,6.68,7.8,1.36,73.1
Lebanon,60.2,35.8,16300,8860,0.238,7.03,10.3,1.61,79.8
Lesotho,101,39.4,2380,1170,4.15,11.1,99.7,3.3,46.5
Liberia,92.6,19.1,700,327,5.47,11.8,89.3,5.02,60.8
Libya,42.1,65.6,29600,12100,14.2,3.88,16.6,2.41,76.1
Lithuania,67.2,65.3,21100,12000,2.38,7.04,6.1,1.5,73.2
Luxembourg,142,175,91700,105000,3.62,7.77,2.8,1.63,81.3
"Macedonia, FYR",58.1,39.8,11400,4540,2.04,7.09,10.4,1.47,74
Madagascar,43,25,1390,413,8.79,3.77,62.2,4.6,60.8
Malawi,34.9,22.8,1030,459,12.1,6.59,90.5,5.31,53.1
Malaysia,71,86.9,21100,9070,7.27,4.39,7.9,2.15,74.5
Maldives,65.4,77.6,10500,7100,2.88,6.33,13.2,2.23,77.9
Mali,35.1,22.8,1870,708,4.37,4.98,137,6.55,59.5
Malta,154,153,28300,21100,3.83,8.65,6.8,1.36,80.3
Mauritania,61.2,50.7,3320,1200,18.9,4.41,97.4,4.98,68.2
Mauritius,62.2,51.2,15900,8000,1.13,6,15,1.57,73.4
"Micronesia, Fed. Sts.",81,23.5,3340,2860,3.8,14.2,40,3.46,65.4
Moldova,78.5,39.2,3910,1630,11.1,11.7,17.2,1.27,69.7
Mongolia,56.7,46.7,7710,2650,39.2,5.44,26.1,2.64,66.2
Montenegro,62.7,37,14000,6680,1.6,9.11,6.8,1.77,76.4
Morocco,43,32.2,6440,2830,0.976,5.2,33.5,2.58,73.5
Mozambique,46.2,31.5,918,419,7.64,5.21,101,5.56,54.5
Myanmar,0.0659,0.109,3720,988,7.04,1.97,64.4,2.41,66.8
Namibia,60.7,47.8,8460,5190,3.56,6.78,56,3.6,58.6
Nepal,36.4,9.58,1990,592,15.1,5.25,47,2.61,68.3
Netherlands,63.6,72,45500,50300,0.848,11.9,4.5,1.79,80.7
New Zealand,28,30.3,32300,33700,3.73,10.1,6.2,2.17,80.9
Niger,49.1,22.2,814,348,2.55,5.16,123,7.49,58.8
Nigeria,17.4,25.3,5150,2330,104,5.07,130,5.84,60.5
Norway,28.5,39.7,62300,87800,5.95,9.48,3.2,1.95,81
Oman,41.2,65.7,45300,19300,15.6,2.77,11.7,2.9,76.1
Pakistan,19.4,13.5,4280,1040,10.9,2.2,92.1,3.85,65.3
Panama,78.2,70,15400,8080,2.59,8.1,19.7,2.62,77.8
Paraguay,51.5,55.1,7290,3230,6.1,5.87,24.1,2.73,74.1
Peru,23.8,27.8,9960,5020,5.71,5.08,20.3,2.54,77.9
Philippines,36.6,34.8,5600,2130,4.22,3.61,31.9,3.16,69
Poland,42.1,40.1,21800,12600,1.66,7.46,6,1.41,76.3
Portugal,37.4,29.9,27200,22500,0.643,11,3.9,1.39,79.8
Qatar,23.8,62.3,125000,70300,6.98,1.81,9,2.07,79.5
Romania,38.8,32.6,17800,8230,3.53,5.58,11.5,1.59,73.7
Russia,21.1,29.2,23100,10700,14.2,5.08,10,1.57,69.2
Rwanda,30,12,1350,563,2.61,10.5,63.6,4.51,64.6
Samoa,53.1,29.2,5400,3450,1.72,6.47,18.9,4.34,71.5
Saudi Arabia,33,49.6,45400,19300,17.2,4.29,15.7,2.96,75.1
Senegal,40.3,24.9,2180,1000,1.85,5.66,66.8,5.06,64
Serbia,47.9,32.9,12700,5410,5.88,10.4,7.6,1.4,74.7
Seychelles,108,93.8,20400,10800,-4.21,3.4,14.4,2.17,73.4
Sierra Leone,34.5,16.8,1220,399,17.2,13.1,160,5.2,55
Singapore,174,200,72100,46600,-0.046,3.96,2.8,1.15,82.7
Slovak Republic,77.8,76.3,25200,16600,0.485,8.79,7,1.43,75.5
Slovenia,62.9,64.3,28700,23400,-0.987,9.41,3.2,1.57,79.5
Solomon Islands,81.2,49.3,1780,1290,6.81,8.55,28.1,4.24,61.7
South Africa,27.4,28.6,12000,7280,6.35,8.94,53.7,2.59,54.3
South Korea,46.2,49.4,30400,22100,3.16,6.93,4.1,1.23,80.1
Spain,26.8,25.5,32500,30700,0.16,9.54,3.8,1.37,81.9
Sri Lanka,26.8,19.6,8560,2810,22.8,2.94,11.2,2.2,74.4
St. Vincent and the Grenadines,57.1,26.9,9920,6230,4.44,4.47,20.7,2.07,71.6
Sudan,17.2,19.7,3370,1480,19.6,6.32,76.7,4.88,66.3
Suriname,38.4,52.5,14200,8300,7.2,7.01,24.1,2.52,70.3
Sweden,40.7,46.2,42900,52100,0.991,9.63,3,1.98,81.5
Switzerland,53.3,64,55500,74600,0.317,11.5,4.5,1.52,82.2
Tajikistan,58.6,14.9,2110,738,12.5,5.98,52.4,3.51,69.6
Tanzania,29.1,18.7,2090,702,9.25,6.01,71.9,5.43,59.3
Thailand,60.8,66.5,13500,5080,4.08,3.88,14.9,1.55,76.6
Timor-Leste,27.8,2.2,1850,3600,26.5,9.12,62.6,6.23,71.1
Togo,57.3,40.2,1210,488,1.18,7.65,90.3,4.87,58.7
Tonga,60.3,12.4,4980,3550,3.68,5.07,17.4,3.91,69.9
Tunisia,55.3,50.5,10400,4140,3.82,6.21,17.4,2.14,76.9
Turkey,25.5,20.4,18000,10700,7.01,6.74,19.1,2.15,78.2
Turkmenistan,44.5,76.3,9940,4440,2.31,2.5,62,2.83,67.9
Uganda,28.6,17.1,1540,595,10.6,9.01,81,6.15,56.8
Ukraine,51.1,47.1,7820,2970,13.4,7.72,11.7,1.44,70.4
United Arab Emirates,63.6,77.7,57600,35000,12.5,3.66,8.6,1.87,76.5
United Kingdom,30.8,28.2,36200,38900,1.57,9.64,5.2,1.92,80.3
United States,15.8,12.4,49400,48400,1.22,17.9,7.3,1.93,78.7
Uruguay,25.4,26.3,17100,11900,4.91,8.35,10.6,2.08,76.4
Uzbekistan,28.5,31.7,4240,1380,16.5,5.81,36.3,2.34,68.8
Vanuatu,52.7,46.6,2950,2970,2.62,5.25,29.2,3.5,63
Venezuela,17.6,28.5,16500,13500,45.9,4.91,17.1,2.47,75.4
Vietnam,80.2,72,4490,1310,12.1,6.84,23.3,1.95,73.1
Yemen,34.4,30,4480,1310,23.6,5.18,56.3,4.67,67.5
Zambia,30.9,37,3280,1460,14,5.89,83.1,5.4,52
